date,open,high,low,close,volume
2024-02-15,59.42,59.59,59.13,59.4,13695850
2024-02-16,59.35,59.62,58.955,59.39,13947060
2024-02-20,59.595,60.84,59.51,60.7,18339320
2024-02-21,60.99,61.28,60.83,61.24,14378260
2024-02-22,60.99,61.25,60.5,61.15,12982800
2024-02-23,61.09,61.62,61.0,61.2,13612910
2024-02-26,61.24,61.27,60.66,60.71,10336100
2024-02-27,60.54,60.78,60.12,60.34,9931088
2024-02-28,60.37,60.49,60.06,60.4,8076536
2024-02-29,60.35,60.64,59.9,60.02,18152650
2024-03-01,59.9,59.9,59.34,59.53,10927560
2024-03-04,59.23,59.95,59.22,59.81,10150240
2024-03-05,59.91,60.11,59.42,59.52,12309960
2024-03-06,59.52,59.995,59.38,59.55,12378820
2024-03-07,59.69,59.77,59.24,59.44,13686860
2024-03-08,59.3,59.79,58.97,59.52,13239010
2024-03-11,59.78,60.29,59.575,60.24,14114260
2024-03-12,60.32,60.75,60.21,60.5,12684650
2024-03-13,60.88,61.21,60.8001,61.12,13909460
2024-03-14,60.58,60.8,60.4,60.5,13996610
2024-03-15,60.02,60.45,59.64,59.88,36849930
2024-03-18,59.89,60.4,59.801,60.13,15856690
2024-03-19,60.24,60.35,60.06,60.23,15030630
2024-03-20,60.18,60.81,60.155,60.75,15258760
2024-03-21,60.56,60.99,60.32,60.47,13067080
2024-03-22,60.52,60.79,60.43,60.49,11502840
2024-03-25,60.48,60.71,60.12,60.4,13144650
2024-03-26,60.5,60.71,60.38,60.54,13277390
2024-03-27,60.79,61.43,60.7,61.03,12551220
2024-03-28,61.14,61.26,60.995,61.18,13683530
2024-04-01,61.18,61.3,60.63,60.68,11668690
2024-04-02,60.45,60.73,60.11,60.15,13017260
2024-04-03,60.05,60.39,59.78,59.83,13672920
2024-04-04,60.09,60.15,59.17,59.3,14320690
2024-04-05,59.25,59.68,58.9101,59.51,10157760
2024-04-08,59.4,59.47,59.07,59.27,10284540
2024-04-09,59.48,59.74,59.13,59.72,10792140
2024-04-10,59.32,59.39,58.69,58.92,11861880
2024-04-11,59.15,59.37,58.785,59.05,11109010
2024-04-12,58.95,59.01,58.13,58.28,12250950
2024-04-15,58.61,58.805,58.04,58.14,12425050
2024-04-16,58.25,58.38,57.93,58.06,11236840
2024-04-17,58.28,58.555,58.1,58.51,13805070
2024-04-18,58.62,58.98,58.54,58.91,11125870
2024-04-19,59.1,60.355,58.995,60.17,21207850
2024-04-22,60.14,60.63,59.715,60.55,15624550
2024-04-23,60.53,60.675,60.13,60.64,13689130
2024-04-24,60.32,61.65,59.84,61.55,19548320
2024-04-25,61.87,62.59,61.37,61.74,19048540
2024-04-26,61.55,61.93,61.35,61.74,10994260
2024-04-29,61.92,62.05,61.53,62.04,13420750
2024-04-30,62.14,62.83,61.465,61.77,19349150
2024-05-01,61.8,62.57,61.21,61.93,16730830
2024-05-02,62.18,62.3991,61.72,61.99,10991300
2024-05-03,61.99,62.33,61.64,62.17,11628680
2024-05-06,62.3,62.38,61.895,62.35,9310699
2024-05-07,62.76,62.82,62.25,62.62,9807029
2024-05-08,62.85,62.97,62.48,62.85,10484410
2024-05-09,62.81,63.15,62.75,62.88,9113662
2024-05-10,62.92,63.36,62.79,63.26,8371691
2024-05-13,63.24,63.62,63.18,63.58,10137620
2024-05-14,63.58,63.76,62.8,63.1,10852230
2024-05-15,63.06,63.3915,63.0,63.13,9838897
2024-05-16,63.24,63.725,63.07,63.32,10228000
2024-05-17,63.34,63.37,62.935,63.03,11539020
